Отдел,Филиал,Правило,Месяц,Rev_2024,Rev_2025,Rev_2025_Year,Rev_2025_Norm,Rev_2025_Year_Norm,Seasonality_Share,Формат,is_network_format,Final_Weight,Роль,План,Корр,Корр_Дельта,План_Расч,План_Скорр,Авто_Корр,Прирост_%,Прирост_24_26_%,Выручка_2024,Выручка_2025,Выручка_2025_Норм,Сезонность_Факт,Сезонность_План,Прирост_Год_%,Рекоменд,Площадь_2025,Площадь_2026,Δ_Площадь_%,Отдача_2025,Отдача_План,Δ_Отдача_%,_План_Расч_Исх,Доля_Факт
1. Сантехника,Владимир Лента,Структура только формата,1,0.0,369903.0,6532421.0,369903.0,6532421.0,0.07915646986801088,Мини,True,0.1243343069880544,Стратегический,6460000.0,,,1030000.0,1000000.0,,170.3,0.0,0.0,369903.0,369903.0,5.662571349886972,7.936507936507936,92.9,1030000.0,0.0,505.0,0.0,0.0,1980.0,0.0,1030000.0,
1А. Сантехника инженерная,Владимир Лента,Структура только формата,1,0.0,147765.0,1588951.0,147765.0,1588951.0,0.07494797334513571,Мини,True,0.039518973433044245,Сопутствующий,6460000.0,,,160000.0,160000.0,,8.3,0.0,0.0,147765.0,147765.0,9.299531577751612,8.51063829787234,18.3,160000.0,0.0,18.0,0.0,0.0,8889.0,0.0,160000.0,
"2А. Крепеж, метизы, такелаж",Владимир Лента,Структура только формата,1,0.0,81080.0,771212.0,81080.0,771212.0,0.07118307242505134,Мини,True,0.018469066429553586,Сопутствующий,6460000.0,,,90000.0,90000.0,,11.0,0.0,0.0,81080.0,81080.0,10.513321888144894,9.782608695652174,19.3,90000.0,0.0,19.0,0.0,0.0,4737.0,0.0,90000.0,
3. Плитка керамическая,Владимир Лента,Структура только формата,1,0.0,38037.0,5285722.0,38037.0,5285722.0,0.07961898466787715,Мини,True,0.12082456996986556,Стратегический,6460000.0,,,1180000.0,1140000.0,,2897.1,0.0,0.0,38037.0,38037.0,0.7196178686658133,7.960893854748603,170.9,1180000.0,0.0,257.0,0.0,0.0,4436.0,0.0,1180000.0,
"4. Обои, плитка потолочная",Владимир Лента,Структура только формата,1,0.0,947535.0,9902105.0,947535.0,9902105.0,0.0882395484583606,Мини,True,0.15437407256549168,Стратегический,6460000.0,,,1140000.0,1110000.0,,17.1,0.0,0.0,947535.0,947535.0,9.569025979829542,8.944399677679291,25.3,1140000.0,0.0,369.0,0.0,0.0,3008.0,0.0,1140000.0,
"4А. Декор окна, текстиль, ковры",Владимир Лента,Структура только формата,1,0.0,72988.0,1179079.0,72988.0,1179079.0,0.08119320998858884,Мини,True,0.01648797494770019,Сопутствующий,6460000.0,,,80000.0,80000.0,,9.6,0.0,0.0,72988.0,72988.0,6.19025527551589,6.451612903225806,5.2,80000.0,0.0,86.0,0.0,0.0,930.0,0.0,80000.0,
5. Покрытия напольные,Владимир Лента,Структура только формата,1,0.0,342155.0,4311438.0,342155.0,4311438.0,0.07922535002164235,Мини,True,0.11442337168656676,Стратегический,6460000.0,,,610000.0,600000.0,,75.4,0.0,0.0,342155.0,342155.0,7.935983307657445,7.989347536617843,74.2,610000.0,0.0,143.0,0.0,0.0,4196.0,0.0,610000.0,
"6. Электрика, вентиляция, климат",Владимир Лента,Структура только формата,1,0.0,140177.0,1845094.0,140177.0,1845094.0,0.08764742766577399,Мини,True,0.04206703528165848,Сопутствующий,6460000.0,,,150000.0,150000.0,,7.0,0.0,0.0,140177.0,140177.0,7.597282306484114,7.142857142857142,13.8,150000.0,0.0,30.0,0.0,0.0,5000.0,0.0,150000.0,
6А. Светотехника,Владимир Лента,Не считаем план,1,0.0,176057.0,2287074.0,176057.0,2287074.0,0.10143298486126659,Мини,True,0.0006001376917807254,Сопутствующий,6460000.0,,,190000.0,190000.0,,7.9,0.0,0.0,176057.0,176057.0,7.697914453139688,8.520179372197308,-2.5,190000.0,0.0,88.0,0.0,0.0,2159.0,0.0,190000.0,
7. Инструменты,Владимир Лента,Структура только формата,1,0.0,282305.0,2775481.0,282305.0,2775481.0,0.065281671485677,Мини,True,0.0744636307515316,Сопутствующий,6460000.0,,,300000.0,290000.0,,2.7,0.0,0.0,282305.0,282305.0,10.171390112200372,8.07799442896936,29.3,300000.0,0.0,64.0,0.0,0.0,4531.0,0.0,300000.0,
